0.802204	0.380382	0.391394	101.074
0.802258	0.377608	0.391641	100.631
0.802781	0.378871	0.393674	100.08
0.802973	0.380464	0.391366	101.193
0.80311	0.378596	0.391916	100.76
0.80344	0.377828	0.390818	101.128
0.803742	0.379695	0.393838	100.244
0.803824	0.378212	0.393152	100.328
0.803852	0.379874	0.392108	100.944
0.803866	0.37931	0.392808	100.605
0.803906	0.379365	0.388881	102.138
0.804414	0.380354	0.390446	101.72
0.804428	0.379585	0.391463	101.229
0.804511	0.37997	0.393467	100.518
0.804524	0.377566	0.390954	101.18
0.804812	0.380244	0.394635	100.146
0.805005	0.37953	0.393028	100.693
0.805307	0.379338	0.392355	100.966
0.805362	0.381645	0.393563	100.803
0.805472	0.380684	0.390076	102.042
0.805526	0.38012	0.390268	101.902
0.805609	0.379283	0.392547	100.924
0.805637	0.379063	0.393509	100.53
0.805746	0.379365	0.391037	101.534
0.805774	0.380313	0.389554	102.237
0.805815	0.379392	0.393	100.79
0.805966	0.380821	0.393824	100.675
0.8062	0.380903	0.392012	101.412
0.806351	0.379668	0.391668	101.406
0.806584	0.378157	0.393206	100.651
0.806625	0.382139	0.391106	101.975
0.807504	0.383238	0.394552	100.898
